ITEM ,CATEGORY ,SUB-CATEGORY ,CPU CODE 
HEADSET ACCS        ,99,70,HD-ACC                                       
PHONE AMP/ANTENNA   ,99,70,PH-AMP                                       
PHONE CONNECTION KIT,99,70,PH-CON                                       
PHONE HANDSET       ,99,70,PH-HND                                       
PHONE POWER ACCS    ,99,70,PH-PWR                                       
PHONE NOISE SUPPRES ,99,70,PH-SUP                                       
WIRED PHONE HEADSETS,99,70,WIRDHD                                       
WRLS PHONE HEADSETS ,99,70,WRLSHD                                       
VIDEO GAME ACCS     ,99,90,*                                            
GAME CONSOLE ACCS   ,99,90,G-ACCS                                       
VIDEO GAME CABLES   ,99,90,G-CABL                                       
VIDEO GAME CTLR     ,99,90,G-CTLR                                       
VIDEO GAME EXPANSION,99,90,G-EXP                                        
VID GAME MEMORY CARD,99,90,G-MEM                                        
GAME ORGANIZER/CASE ,99,90,GAMCAS                                       
VIDEO GAME ACC      ,99,90,OTHER                                        
A/V & MUSIC ACCS    ,99,95,*                                            
AUDIO ADAPTER       ,99,95,AUD-A                                        
DIG A/V DEVICE ACCS ,99,95,AV-ACC                                       
AUDIO VIDEO REMOTES ,99,95,AV-RMT                                       
AV CLEANING SUPL    ,99,95,AVCLN                                        
IPOD/MP3 PLAYER DOCK,99,95,AVDOCK                                       
DISPLAY SPEAKERS    ,99,95,DISPKR                                       
PC HEADSET/MIC COMBO,99,95,H-COMB                                       
HOME AUDIO ACCS     ,99,95,HACCS                                        
PC HEADSET/HEADPHONE,99,95,HEADST                                       
PC MICROPHONE       ,99,95,MIC                                          
SPEAKERS & SUBWOOFER,99,95,SPKR                                         
HOME THEATER FURN   ,99,95,THFURN                                       
HOME AUTOMATION     ,99,99,*                                            
HOME AUTO ACCS      ,99,99,HAACCS                                       
HOME AUTO CTLRS     ,99,99,HACTLR                                       
HOME AUTO MODULES   ,99,99,HAMODL                                       
HOME AUTO SENSORS   ,99,99,HASENS                                       
HOME AUTO SWITCHES  ,99,99,HASWCH                                       
