ITEM ,CATEGORY ,SUB-CATEGORY ,CPU CODE 
BROADBAND LOOP CARR ,4,33,BLC                                          
DSL ACCESS MUX      ,4,33,DSLAM                                        
MULTIPLEXORS        ,4,33,MUX                                          
MULTIPLEXOR CPNT    ,4,33,MUX-CP                                       
OPTICAL TRANSPORT   ,4,33,OPT                                          
MOBILITY COMM DEVICE,4,41,*                                            
MOBILE CELL MODEMS  ,4,41,CELMOD                                       
GPS CONNECTIVITY DEV,4,41,GPS                                          
3G/4G ROUTERS       ,4,41,MOBRTR                                       
SMART PHONES        ,4,41,SMART                                        
MOBILE WEARABLES    ,4,41,WEAR                                         
WATCH PHONES        ,4,41,WTCPHN                                       
CONSUMER TELEPHONY  ,4,51,*                                            
CORDLESS PHONE/CPNT ,4,51,C-PHON                                       
OTHER TELEPHONY DEV ,4,51,OTHDEV                                       
VIDEO/AUDIO CONF.   ,4,81,*                                            
AUDIO CONF CPNT     ,4,81,AC-CP                                        
AUDIO CONF UNIT     ,4,81,AC-UNT                                       
VIDEO CONF CAMERA   ,4,81,VC-CAM                                       
VID CONFERENCE SYST ,4,81,VC-CP                                        
VIDEO CONF CARTS    ,4,81,VC-CRT                                       
MP VIDEO CONF SYST  ,4,81,VC-MP                                        
VIDEO CONF SW       ,4,81,VC-SW                                        
VIDEO CONF SYST     ,4,81,VC-SYS                                       
WEB CONFERENCING    ,4,81,WEBCON                                       
NETWORK DEVICES     ,5,* ,*                                            
NETWORK INTERFACE CD,5,1,*                                            
ATM NETWORK CARD    ,5,1,ATM-C                                        
BOOT ROM/BRACKET    ,5,1,BOOT-R                                       
ETHERNET NIC        ,5,1,ENET                                         
FAST ETHERNET NIC   ,5,1,FAST-E                                       
GIGABIT ETHERNET NIC,5,1,GBE                                          
PHONE/POWER LINE NIC,5,1,PH-NIC                                       
WIRELESS NETWORKING ,5,5,*                                            
WIRELESS ROUTER     ,5,5,B-ROUT                                       
ANTENNAS & AMPLIFIER,5,5,WL-ANT                                       
WIRELESS AP         ,5,5,WL-AP                                        
WIRELESS BRIDGE     ,5,5,WL-BRG                                       
WIRELESS CABLE/CPNT ,5,5,WL-C                                         
WIRELESS STARTER KIT,5,5,WL-KIT                                       
WIRELES NIC         ,5,5,WL-NIC                                       
WIRELESS SWI        ,5,5,WL-SW                                        
SWITCHES & HUBS     ,5,21,*                                            
CHASSIS-BASED SWITCH,5,21,CHS-SW                                       
REPEATER            ,5,21,REPEAT                                       
STANDALONE SWITCH   ,5,21,STD-SW                                       
STANDALONE HUB      ,5,21,STDHUB                                       
STACKABLE SWITCH    ,5,21,STK-SW                                       
SWITCH & HUB CPNT   ,5,21,SW-CP                                        
CONTENT NETWORKING  ,5,25,*                                            
CONTENT DELIVER CPNT,5,25,CDL-SW                                       
CONTENT DELIVERY EQU,5,25,DELIVR                                       
CONTENT/LOAD BALANCE,5,25,LAY-SW                                       
MEDIA STREAMING DEV ,5,25,MEDDEV                                       
TRANSCEIVERS        ,5,31,*                                            
MEDIA CONVERTER/CPNT,5,31,MEDIAC                                       
TRANSCEIVER         ,5,31,TRANS                                        
ROUTERS & COMPONENTS,5,41,*                                            
